quarter_start,reporting_period,reporting_level,entity,lhd,district_type,peer_group,triage_category,pct_on_time
2010-01-01,Jan-Mar 2010,Hospital,Muswellbrook,Hunter New England,Regional,District group 2,T4: Semi-urgent,77.4
2010-01-01,Jan-Mar 2010,Hospital,Muswellbrook,Hunter New England,Regional,District group 2,T5: Non-urgent,95.0
2010-01-01,Jan-Mar 2010,Hospital,Narrabri,Hunter New England,Regional,District group 2,T2: Emergency,84.6
2010-01-01,Jan-Mar 2010,Hospital,Narrabri,Hunter New England,Regional,District group 2,T3: Urgent,92.1
2010-01-01,Jan-Mar 2010,Hospital,Narrabri,Hunter New England,Regional,District group 2,T4: Semi-urgent,94.1
2010-01-01,Jan-Mar 2010,Hospital,Narrabri,Hunter New England,Regional,District group 2,T5: Non-urgent,99.4
2010-01-01,Jan-Mar 2010,Hospital,Nepean,Nepean Blue Mountains,Metropolitan,Principal referral,T2: Emergency,60.8
2010-01-01,Jan-Mar 2010,Hospital,Nepean,Nepean Blue Mountains,Metropolitan,Principal referral,T3: Urgent,39.6
2010-01-01,Jan-Mar 2010,Hospital,Nepean,Nepean Blue Mountains,Metropolitan,Principal referral,T4: Semi-urgent,56.2
2010-01-01,Jan-Mar 2010,Hospital,Nepean,Nepean Blue Mountains,Metropolitan,Principal referral,T5: Non-urgent,79.1
2010-01-01,Jan-Mar 2010,Hospital,Orange,Western NSW,Regional,Major,T2: Emergency,69.5
2010-01-01,Jan-Mar 2010,Hospital,Orange,Western NSW,Regional,Major,T3: Urgent,70.8
2010-01-01,Jan-Mar 2010,Hospital,Orange,Western NSW,Regional,Major,T4: Semi-urgent,74.3
2010-01-01,Jan-Mar 2010,Hospital,Orange,Western NSW,Regional,Major,T5: Non-urgent,89.1
2010-01-01,Jan-Mar 2010,Hospital,Royal North Shore,Northern Sydney,Metropolitan,Principal referral,T2: Emergency,86.0
2010-01-01,Jan-Mar 2010,Hospital,Royal North Shore,Northern Sydney,Metropolitan,Principal referral,T3: Urgent,71.5
2010-01-01,Jan-Mar 2010,Hospital,Royal North Shore,Northern Sydney,Metropolitan,Principal referral,T4: Semi-urgent,76.6
2010-01-01,Jan-Mar 2010,Hospital,Royal North Shore,Northern Sydney,Metropolitan,Principal referral,T5: Non-urgent,90.7
2010-01-01,Jan-Mar 2010,Hospital,Royal Prince Alfred,Sydney,Metropolitan,Principal referral,T2: Emergency,67.5
2010-01-01,Jan-Mar 2010,Hospital,Royal Prince Alfred,Sydney,Metropolitan,Principal referral,T3: Urgent,63.7
2010-01-01,Jan-Mar 2010,Hospital,Royal Prince Alfred,Sydney,Metropolitan,Principal referral,T4: Semi-urgent,67.7
2010-01-01,Jan-Mar 2010,Hospital,Royal Prince Alfred,Sydney,Metropolitan,Principal referral,T5: Non-urgent,87.8
2010-01-01,Jan-Mar 2010,Hospital,Ryde,Northern Sydney,Metropolitan,District group 1,T2: Emergency,93.3
2010-01-01,Jan-Mar 2010,Hospital,Ryde,Northern Sydney,Metropolitan,District group 1,T3: Urgent,76.3
2010-01-01,Jan-Mar 2010,Hospital,Ryde,Northern Sydney,Metropolitan,District group 1,T4: Semi-urgent,79.1
2010-01-01,Jan-Mar 2010,Hospital,Ryde,Northern Sydney,Metropolitan,District group 1,T5: Non-urgent,90.9
2010-01-01,Jan-Mar 2010,Hospital,Shellharbour,Illawarra Shoalhaven,Metropolitan,District group 1,T2: Emergency,55.1
2010-01-01,Jan-Mar 2010,Hospital,Shellharbour,Illawarra Shoalhaven,Metropolitan,District group 1,T3: Urgent,63.6
2010-01-01,Jan-Mar 2010,Hospital,Shellharbour,Illawarra Shoalhaven,Metropolitan,District group 1,T4: Semi-urgent,69.5
2010-01-01,Jan-Mar 2010,Hospital,Shellharbour,Illawarra Shoalhaven,Metropolitan,District group 1,T5: Non-urgent,84.0
2010-01-01,Jan-Mar 2010,Hospital,Shoalhaven,Illawarra Shoalhaven,Metropolitan,Major,T2: Emergency,54.1
2010-01-01,Jan-Mar 2010,Hospital,Shoalhaven,Illawarra Shoalhaven,Metropolitan,Major,T3: Urgent,54.7
2010-01-01,Jan-Mar 2010,Hospital,Shoalhaven,Illawarra Shoalhaven,Metropolitan,Major,T4: Semi-urgent,63.3
2010-01-01,Jan-Mar 2010,Hospital,Shoalhaven,Illawarra Shoalhaven,Metropolitan,Major,T5: Non-urgent,83.4
2010-01-01,Jan-Mar 2010,Hospital,Singleton,Hunter New England,Regional,District group 2,T2: Emergency,54.0
2010-01-01,Jan-Mar 2010,Hospital,Singleton,Hunter New England,Regional,District group 2,T3: Urgent,67.7
2010-01-01,Jan-Mar 2010,Hospital,Singleton,Hunter New England,Regional,District group 2,T4: Semi-urgent,77.0
2010-01-01,Jan-Mar 2010,Hospital,Singleton,Hunter New England,Regional,District group 2,T5: Non-urgent,96.6
2010-01-01,Jan-Mar 2010,Hospital,St George,South Eastern Sydney,Metropolitan,Principal referral,T2: Emergency,49.1
2010-01-01,Jan-Mar 2010,Hospital,St George,South Eastern Sydney,Metropolitan,Principal referral,T3: Urgent,43.9
2010-01-01,Jan-Mar 2010,Hospital,St George,South Eastern Sydney,Metropolitan,Principal referral,T4: Semi-urgent,63.1
2010-01-01,Jan-Mar 2010,Hospital,St George,South Eastern Sydney,Metropolitan,Principal referral,T5: Non-urgent,78.2
2010-01-01,Jan-Mar 2010,Hospital,St Vincent's,St Vincent's Health Network,Specialty network,Principal referral,T2: Emergency,100.0
2010-01-01,Jan-Mar 2010,Hospital,St Vincent's,St Vincent's Health Network,Specialty network,Principal referral,T3: Urgent,71.7
2010-01-01,Jan-Mar 2010,Hospital,St Vincent's,St Vincent's Health Network,Specialty network,Principal referral,T4: Semi-urgent,76.5
2010-01-01,Jan-Mar 2010,Hospital,St Vincent's,St Vincent's Health Network,Specialty network,Principal referral,T5: Non-urgent,89.5
2010-01-01,Jan-Mar 2010,Hospital,Sutherland,South Eastern Sydney,Metropolitan,Major,T2: Emergency,38.6
2010-01-01,Jan-Mar 2010,Hospital,Sutherland,South Eastern Sydney,Metropolitan,Major,T3: Urgent,58.4
2010-01-01,Jan-Mar 2010,Hospital,Sutherland,South Eastern Sydney,Metropolitan,Major,T4: Semi-urgent,79.4
2010-01-01,Jan-Mar 2010,Hospital,Sutherland,South Eastern Sydney,Metropolitan,Major,T5: Non-urgent,95.2
2010-01-01,Jan-Mar 2010,Hospital,Sydney and Sydney Eye,South Eastern Sydney,Metropolitan,Ungrouped acute - tertiary referral,T2: Emergency,67.8
2010-01-01,Jan-Mar 2010,Hospital,Sydney and Sydney Eye,South Eastern Sydney,Metropolitan,Ungrouped acute - tertiary referral,T3: Urgent,78.1
2010-01-01,Jan-Mar 2010,Hospital,Sydney and Sydney Eye,South Eastern Sydney,Metropolitan,Ungrouped acute - tertiary referral,T4: Semi-urgent,85.7
2010-01-01,Jan-Mar 2010,Hospital,Sydney and Sydney Eye,South Eastern Sydney,Metropolitan,Ungrouped acute - tertiary referral,T5: Non-urgent,97.6
2010-01-01,Jan-Mar 2010,Hospital,Tamworth,Hunter New England,Regional,Major,T2: Emergency,83.5
2010-01-01,Jan-Mar 2010,Hospital,Tamworth,Hunter New England,Regional,Major,T3: Urgent,60.2
2010-01-01,Jan-Mar 2010,Hospital,Tamworth,Hunter New England,Regional,Major,T4: Semi-urgent,55.8
2010-01-01,Jan-Mar 2010,Hospital,Tamworth,Hunter New England,Regional,Major,T5: Non-urgent,80.6
2010-01-01,Jan-Mar 2010,Hospital,Tweed Valley,Northern NSW,Regional,Major,T2: Emergency,32.9
2010-01-01,Jan-Mar 2010,Hospital,Tweed Valley,Northern NSW,Regional,Major,T3: Urgent,55.8
2010-01-01,Jan-Mar 2010,Hospital,Tweed Valley,Northern NSW,Regional,Major,T4: Semi-urgent,72.8
2010-01-01,Jan-Mar 2010,Hospital,Tweed Valley,Northern NSW,Regional,Major,T5: Non-urgent,91.3
2010-01-01,Jan-Mar 2010,Hospital,Wagga Wagga,Murrumbidgee,Regional,Major,T2: Emergency,81.6
2010-01-01,Jan-Mar 2010,Hospital,Wagga Wagga,Murrumbidgee,Regional,Major,T3: Urgent,79.1
2010-01-01,Jan-Mar 2010,Hospital,Wagga Wagga,Murrumbidgee,Regional,Major,T4: Semi-urgent,78.1
2010-01-01,Jan-Mar 2010,Hospital,Wagga Wagga,Murrumbidgee,Regional,Major,T5: Non-urgent,90.0
2010-01-01,Jan-Mar 2010,Hospital,Westmead,Western Sydney,Metropolitan,Principal referral,T2: Emergency,64.4
2010-01-01,Jan-Mar 2010,Hospital,Westmead,Western Sydney,Metropolitan,Principal referral,T3: Urgent,44.8
