reporting_period,entity,lhd,peer_group,attendances,pct_on_time,quarter_start,district_type
Apr-Jun 2011,Nepean,Nepean Blue Mountains,Principal referral,13040.0,53.1,2011-04-01,Metropolitan
Apr-Jun 2011,Orange,Western NSW,Major,6799.0,72.4,2011-04-01,Regional
Apr-Jun 2011,Port Macquarie,Mid North Coast,Major,7654.0,63.9,2011-04-01,Regional
Apr-Jun 2011,Prince of Wales,South Eastern Sydney,Principal referral,10843.0,58.5,2011-04-01,Metropolitan
Apr-Jun 2011,Royal North Shore,Northern Sydney,Principal referral,14709.0,83.9,2011-04-01,Metropolitan
Apr-Jun 2011,Royal Prince Alfred,Sydney,Principal referral,15577.0,66.1,2011-04-01,Metropolitan
Apr-Jun 2011,Ryde,Northern Sydney,District group 1,6416.0,84.5,2011-04-01,Metropolitan
Apr-Jun 2011,Shellharbour,Illawarra Shoalhaven,District group 1,6297.0,64.9,2011-04-01,Metropolitan
Apr-Jun 2011,Shoalhaven,Illawarra Shoalhaven,Major,8329.0,67.7,2011-04-01,Metropolitan
Apr-Jun 2011,Singleton,Hunter New England,District group 2,2944.0,70.8,2011-04-01,Regional
Apr-Jun 2011,South East Regional,Southern NSW,District group 1,3028.0,65.3,2011-04-01,Regional
Apr-Jun 2011,St George,South Eastern Sydney,Principal referral,15101.0,62.2,2011-04-01,Metropolitan
Apr-Jun 2011,St Vincent's,St Vincent's Health Network,Principal referral,9936.0,78.5,2011-04-01,Specialty network
Apr-Jun 2011,Sutherland,South Eastern Sydney,Major,11042.0,74.1,2011-04-01,Metropolitan
Apr-Jun 2011,Sydney Children's Randwick,Sydney Children's Hospitals Network,Paediatric specialist,9252.0,67.8,2011-04-01,Specialty network
Apr-Jun 2011,Sydney and Sydney Eye,South Eastern Sydney,Ungrouped acute - tertiary referral,9012.0,91.7,2011-04-01,Metropolitan
Apr-Jun 2011,Tamworth,Hunter New England,Major,9896.0,74.4,2011-04-01,Regional
Apr-Jun 2011,Tweed Valley,Northern NSW,Major,9798.0,60.1,2011-04-01,Regional
Apr-Jun 2011,Wagga Wagga,Murrumbidgee,Major,8280.0,73.4,2011-04-01,Regional
Apr-Jun 2011,Westmead,Western Sydney,Principal referral,13821.0,65.3,2011-04-01,Metropolitan
Apr-Jun 2011,Wollongong,Illawarra Shoalhaven,Principal referral,13103.0,56.4,2011-04-01,Metropolitan
Apr-Jun 2012,Armidale,Hunter New England,District group 1,3976.0,73.1,2012-04-01,Regional
Apr-Jun 2012,Auburn,Western Sydney,Major,6382.0,76.3,2012-04-01,Metropolitan
